Age,Gender,self_employed,family_history,treatment,work_interfere,Company_work,wellness_program,seek_help,anonymity,mental_health_consequence,friends,Elders,obs_consequence
37,Female,NA,No,Yes,Often,Yes,No,Yes,Yes,No,Some of them,Yes,No
44,M,NA,No,No,Rarely,No,Don't know,Don't know,Don't know,Maybe,No,No,No
32,Male,NA,No,No,Rarely,Yes,No,No,Don't know,No,Yes,Yes,No
31,Male,NA,Yes,Yes,Often,Yes,No,No,No,Yes,Some of them,No,Yes
31,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No
33,Male,NA,Yes,No,Sometimes,Yes,No,Don't know,Don't know,No,Yes,Yes,No
35,Female,NA,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Some of them,No,No
39,M,NA,No,No,Never,Yes,No,No,Yes,No,No,No,No
42,Female,NA,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Yes,Yes,No
23,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
31,Male,NA,No,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
29,male,NA,No,No,Never,Yes,No,No,Don't know,No,Yes,Yes,No
42,female,NA,Yes,Yes,Sometimes,No,No,No,Don't know,Yes,Yes,Yes,Yes
36,Male,NA,Yes,No,Never,Yes,No,Don't know,Don't know,No,Yes,Yes,No
27,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,No
29,female,NA,Yes,Yes,Rarely,Yes,No,No,Don't know,No,Yes,Some of them,No
23,Male,NA,No,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,No,No
32,Male,NA,No,Yes,Sometimes,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
46,male,Yes,Yes,No,Sometimes,Yes,Yes,Don't know,Yes,No,Yes,Yes,Yes
36,Male,Yes,Yes,No,NA,Yes,Yes,No,Yes,No,Some of them,Some of them,No
29,Male,No,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Some of them,Some of them,No
31,male,Yes,No,No,Never,Yes,No,No,Yes,No,Some of them,Some of them,No
46,Male,No,No,Yes,Often,Yes,No,No,Don't know,Maybe,Some of them,Yes,No
41,Male,No,No,Yes,Never,No,No,Don't know,Don't know,Maybe,No,No,No
33,male,No,Yes,Yes,Rarely,Yes,Don't know,Yes,Yes,No,Yes,Yes,No
35,male,No,Yes,Yes,Sometimes,No,No,Don't know,No,Yes,Some of them,Yes,No
33,male,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
35,Female,No,Yes,Yes,Rarely,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
34,male,No,No,Yes,Sometimes,Yes,No,Don't know,Don't know,No,Some of them,No,No
37,Male,No,No,No,Sometimes,Yes,No,No,Don't know,Yes,Some of them,No,No
32,Male,No,No,No,Never,Yes,No,No,Don't know,Yes,Some of them,Some of them,No
31,Male,Yes,Yes,No,Rarely,Yes,No,No,Don't know,Yes,No,No,Yes
30,male,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Maybe,Some of them,Yes,No
42,Male,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Maybe,Some of them,Some of them,No
40,female,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,No
27,Male,No,No,Yes,Rarely,Yes,No,No,Don't know,No,Yes,Yes,No
29,Male,No,No,No,Rarely,Yes,No,No,Don't know,Yes,Some of them,No,No
38,Male,No,No,No,NA,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
50,M,No,No,No,NA,Yes,No,Don't know,Don't know,No,Some of them,Yes,No
35,M,No,No,Yes,Rarely,Yes,No,Yes,Yes,No,Yes,Yes,No
24,Male,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,Yes
